timestamp,route,count
2025-08-28 19:20:02,582 Orange Lot,2
2025-08-28 19:21:01,901 State Fair - Hub,1
2025-08-28 19:21:01,909 Destiny USA,2
2025-08-28 19:21:01,907 Long Branch Park,2
2025-08-28 19:21:01,582 Orange Lot,2
2025-08-28 19:22:01,901 State Fair - Hub,1
2025-08-28 19:22:01,909 Destiny USA,2
2025-08-28 19:22:01,907 Long Branch Park,2
2025-08-28 19:22:01,582 Orange Lot,2
2025-08-28 19:23:02,901 State Fair - Hub,1
2025-08-28 19:23:02,909 Destiny USA,2
2025-08-28 19:23:02,907 Long Branch Park,2
2025-08-28 19:23:02,582 Orange Lot,2
2025-08-28 19:24:01,901 State Fair - Hub,1
2025-08-28 19:24:01,909 Destiny USA,2
2025-08-28 19:24:01,907 Long Branch Park,2
2025-08-28 19:24:01,582 Orange Lot,2
2025-08-28 19:25:01,901 State Fair - Hub,1
2025-08-28 19:25:01,909 Destiny USA,2
2025-08-28 19:25:01,907 Long Branch Park,2
2025-08-28 19:25:01,582 Orange Lot,2
2025-08-28 19:26:01,901 State Fair - Hub,1
2025-08-28 19:26:01,909 Destiny USA,2
2025-08-28 19:26:01,907 Long Branch Park,2
2025-08-28 19:26:01,582 Orange Lot,2
2025-08-28 19:27:01,901 State Fair - Hub,1
2025-08-28 19:27:01,909 Destiny USA,2
2025-08-28 19:27:01,907 Long Branch Park,2
2025-08-28 19:27:01,582 Orange Lot,2
2025-08-28 19:28:01,901 State Fair - Hub,1
2025-08-28 19:28:01,909 Destiny USA,2
2025-08-28 19:28:01,907 Long Branch Park,2
2025-08-28 19:28:01,582 Orange Lot,2
2025-08-28 19:29:02,901 State Fair - Hub,1
2025-08-28 19:29:02,909 Destiny USA,2
2025-08-28 19:29:02,907 Long Branch Park,2
2025-08-28 19:29:02,582 Orange Lot,2
2025-08-28 19:30:01,901 State Fair - Hub,1
2025-08-28 19:30:01,909 Destiny USA,2
2025-08-28 19:30:01,907 Long Branch Park,2
2025-08-28 19:30:01,582 Orange Lot,2
2025-08-28 19:31:01,901 State Fair - Hub,1
2025-08-28 19:31:01,909 Destiny USA,2
2025-08-28 19:31:01,907 Long Branch Park,2
2025-08-28 19:31:01,582 Orange Lot,2
2025-08-28 19:32:01,901 State Fair - Hub,1
2025-08-28 19:32:01,909 Destiny USA,2
2025-08-28 19:32:01,907 Long Branch Park,2
2025-08-28 19:32:01,582 Orange Lot,2
2025-08-28 19:33:01,901 State Fair - Hub,1
2025-08-28 19:33:01,909 Destiny USA,2
2025-08-28 19:33:01,907 Long Branch Park,2
2025-08-28 19:33:01,582 Orange Lot,2
